Stock;Price;Change;Percent Change;Closing Price;Sector;Industry;Employees;Founded;Website;1-day range;52-week range;Market cap;Market cap clear;P/E ratio;Next earnings date;Dividend yield;Ex-dividend date;Dividend pay date;Number of analysts;Buy Recommendation;Hold Recommendation;Sell Recommendation;Smart Score;Score;High Forecast;High Forecast Percent;Median Forecast;Median Forecast Percent;Low Forecast;Low Forecast Percent;Total revenue Value;Total revenue Change;Net income Value;Net income Change;Earnings per share Value;Earnings per share Change;Net profit margin Value;Net profit margin Change;Free cash flow Value;Free cash flow Change;Debt-to-equity ratio Value;Debt-to-equity ratio Change;Date of record;Time of record;Page Load Time (s);Dynamic Element Load Time (s);Fear & Greed Index;;;;;;;;;;;;;;
CARR;68.45;+ 0.24;0.35;69.00;Producer Manufacturing;Industrial Machinery;53000.0;1915;www.corporate.carrier.com;"67.60
68.69";"53.13
83.32";61.41B;61410000000.0;17.88;Feb 10, 2025;1.3;2024-12-19;2025-01-06;25;0.48;0.44;0.08;5;1.8247626004382758;95.0;38.78743608473338;84.5;23.447772096420742;70.0;2.2644265887509087;5.98B;4.41%;564.00M;57.98%;0.49;16.95%;9.43%;51.30%;- 356.00M;137.51%;0.88;22.46%;2025-01-10;12:02:39 UTC;1.92;0.01;;;;;;;;;;;;;;;
CSX;32.2;+ 0.01;0.03;32.50;Transportation;Railroads;23000.0;1827;www.csx.com;"31.88
32.30";"31.43
40.12";62.09B;62090000000.0;17.31;Jan 22, 2025;1.27;2024-11-28;2024-12-12;29;0.62;0.38;0.0;8;1.8149068322981359;44.0;36.64596273291924;39.5;22.67080745341614;30.0;-6.832298136645972;3.62B;1.32%;894.00M;5.67%;0.46;8.88%;24.70%;4.30%;1.06B;7.06%;1.47;7.17%;2025-01-10;12:02:39 UTC;2.8;0.01;;;;;;;;;;;;;;;
HLT;243.3;+ 1.92;0.8;242.70;Consumer Services;Hotels/Resorts/Cruise lines;178000.0;1925;www.hilton.com;"241.56
244.27";"179.64
259.01";59.31B;59310000000.0;52.2;Feb 11, 2025;0.33;2024-11-14;2024-12-26;28;0.39;0.57;0.04;4;0.5121372790793255;277.0;13.851212494862306;243.0;-0.1233045622688086;200.0;-17.79695848746404;2.87B;7.26%;344.00M;8.75%;1.38;3.99%;12.00%;14.93%;647.00M;0.77%;n/a;n/a;2025-01-10;12:02:39 UTC;2.17;0.01;;;;;;;;;;;;;;;
DLR;180.87;+ 0.99;0.55;180.50;Finance;Real Estate Investment Trusts;3664.0;2004;www.digitalrealty.com;"179.42
181.89";"130.28
198.00";60.00B;60000000000.0;154.27;Feb 12, 2025;3.63;2024-12-12;2025-01-16;27;0.59;0.33;0.07;8;0.4561408746613589;212.0;17.211256703709843;190.0;5.0478244042682565;128.0;-29.230939348703487;1.43B;2.05%;51.19M;93.02%;0.09;96.04%;3.58%;93.16%;- 215.01M;70.92%;0.89;14.64%;2025-01-10;12:02:39 UTC;2.65;0.01;;;;;;;;;;;;;;;
TGT;138.22;- 1.03;-0.74;139.00;Retail Trade;Specialty Stores;415000.0;1902;www.target.com;"136.26
139.29";"120.21
181.86";63.33B;63330000000.0;14.65;Mar 10, 2025;3.01;2024-11-19;2024-12-09;39;0.41;0.56;0.03;5;0.6874200549848066;170.0;22.99233106641586;142.5;3.0965128056721176;103.0;-25.4811170597598;25.67B;1.06%;854.00M;12.05%;1.85;11.84%;3.33%;12.97%;84.00M;89.59%;1.60;3.41%;2025-01-10;12:02:39 UTC;4.18;0.01;;;;;;;;;;;;;;;
KMI;28.29;+ 0.48;1.73;28.41;Industrial Services;Oil & Gas Pipelines;10891.0;1997;www.kindermorgan.com;"27.68
28.31";"16.47
28.81";62.85B;62850000000.0;24.87;Jan 21, 2025;6.38;2024-10-30;2024-11-14;21;0.48;0.43;0.1;8;0.06687875574407914;34.0;20.183810533757516;26.0;-8.094733121244253;21.0;-25.768822905620357;3.68B;6.03%;621.00M;17.61%;0.28;18.07%;16.89%;25.16%;628.00M;10.41%;1.05;2.82%;2025-01-10;12:02:39 UTC;2.11;0.01;;;;;;;;;;;;;;;
OKE;102.85;+ 1.24;1.22;104.00;Industrial Services;Oil & Gas Pipelines;4775.0;1906;www.oneok.com;"101.17
103.19";"67.05
118.07";60.09B;60090000000.0;21.53;Mar 2, 2025;5.44;2024-10-31;2024-11-13;18;0.44;0.5;0.06;8;1.3321244530870204;147.0;42.926592124453094;111.0;7.924161400097235;103.0;0.1458434613514883;5.02B;20.80%;693.00M;52.64%;1.18;19.31%;13.80%;26.36%;807.00M;54.01%;1.67;23.11%;2025-01-10;12:02:39 UTC;3.29;0.01;;;;;;;;;;;;;;;
TFC;43.95;- 0.02;-0.05;43.94;Finance;Regional Banks;49037.0;1872;www.truist.com;"43.45
44.25";"34.23
49.05";58.34B;58340000000.0;;Jan 16, 2025;5.63;2024-11-07;2024-12-01;23;0.48;0.52;0.0;5;1.5611604095563136;60.0;36.51877133105801;48.0;9.215017064846409;45.0;2.3890784982935087;7.77B;8.24%;1.44B;22.26%;0.99;23.96%;18.52%;33.25%;929.00M;59.92%;1.00;16.85%;2025-01-10;12:02:39 UTC;3.22;0.01;;;;;;;;;;;;;;;
AFL;103.57;+ 0.73;0.71;103.69;Finance;Multi-Line Insurance;12785.0;1955;www.aflac.com;"102.03
103.59";"75.08
115.50";57.54B;57540000000.0;15.59;Feb 4, 2025;2.04;2025-02-18;2025-03-02;17;0.18;0.59;0.24;2;0.0828386598435843;123.0;18.760258762189828;104.0;0.4151781403881499;90.0;-13.102249686202564;2.95B;40.42%;- 93.00M;105.93%;- 0.17;106.31%;- 3.15%;109.95%;1.27B;n/a;0.32;4.63%;2025-01-10;12:02:39 UTC;2.72;0.01;;;;;;;;;;;;;;;
GM;51.0;- 0.98;-1.89;50.99;Consumer Durables;Motor Vehicles;163000.0;1908;www.gm.com;"50.30
51.75";"34.32
61.24";56.08B;56080000000.0;5.44;Jan 27, 2025;1.0;2024-12-05;2024-12-18;29;0.55;0.31;0.14;6;1.244901960784314;85.0;66.66666666666666;60.0;17.647058823529413;38.0;-25.49019607843137;48.76B;10.48%;3.06B;0.26%;2.68;21.48%;6.27%;9.72%;862.00M;43.19%;1.80;12.92%;2025-01-10;12:02:39 UTC;2.5;0.01;;;;;;;;;;;;;;;
BK;77.95;- 0.01;-0.01;77.38;Finance;Investment Banks/Brokers;53400.0;1784;www.bny.com;"76.78
78.01";"52.09
82.72";56.67B;56670000000.0;16.95;Jan 14, 2025;3.04;2024-10-20;2024-10-31;18;0.67;0.28;0.06;4;1.3330532392559329;96.0;23.155869146889028;84.5;8.402822322001278;77.0;-1.2187299550994264;10.19B;15.04%;1.18B;13.87%;1.50;22.33%;11.60%;1.01%;- 687.00M;114.60%;1.81;5.33%;2025-01-10;12:02:39 UTC;4.07;0.01;;;;;;;;;;;;;;;
ROP;510.3;+ 3.20;0.63;508.01;Technology Services;Packaged Software;16800.0;1890;www.ropertech.com;"504.31
511.87";"504.31
580.09";54.72B;54720000000.0;37.6;Jan 29, 2025;0.51;2025-01-02;2025-01-16;19;0.47;0.42;0.11;6;1.659459141681364;676.0;32.4710954340584;625.0;22.476974328826177;535.0;4.840290025475209;1.76B;12.87%;367.90M;6.45%;3.40;6.86%;20.85%;5.69%;732.10M;18.64%;0.45;12.07%;2025-01-10;12:02:39 UTC;3.57;0.01;;;;;;;;;;;;;;;
MET;82.82;+ 0.68;0.83;83.55;Finance;Multi-Line Insurance;45000.0;1868;www.metlife.com;"80.86
83.01";"64.61
89.05";57.35B;57350000000.0;16.7;Feb 4, 2025;3.12;2025-02-03;2025-03-10;18;0.72;0.28;0.0;10;1.551866698865009;101.0;21.951219512195134;96.0;15.914030427432996;81.0;-2.197536826853409;18.44B;16.22%;1.34B;174.44%;1.81;224.35%;7.28%;136.13%;4.17B;19.97%;0.63;17.24%;2025-01-10;12:02:39 UTC;2.12;0.01;;;;;;;;;;;;;;;
CPRT;56.78;+ 0.54;0.96;56.25;Retail Trade;Specialty Stores;11700.0;1982;www.copart.com;"56.17
57.04";"46.48
64.38";54.71B;54710000000.0;39.8;Feb 18, 2025;;;;13;0.54;0.38;0.08;7;1.0778724903134904;66.0;16.23811201127157;63.5;11.83515322296583;56.0;-1.3737231419513933;1.15B;1.74%;362.09M;5.29%;0.37;8.36%;31.57%;3.11%;244.26M;40.20%;0.01;28.58%;2025-01-10;12:02:39 UTC;2.25;0.01;;;;;;;;;;;;;;;
FCX;39.74;+ 1.00;2.58;40.71;Non-Energy Minerals;Other Metals/Minerals;27200.0;1987;www.fcx.com;"38.31
39.83";"36.26
55.23";57.10B;57100000000.0;28.91;Jan 22, 2025;1.41;2025-01-14;2025-02-02;26;0.62;0.35;0.04;5;3.177503774534474;62.0;56.0140915953699;56.0;40.915953699043776;49.0;23.301459486663305;6.68B;13.84%;520.00M;15.81%;0.36;15.71%;7.78%;1.74%;673.00M;1,060.34%;0.55;3.47%;2025-01-10;12:02:39 UTC;2.25;0.15;;;;;;;;;;;;;;;
CVS;46.01;+ 0.23;0.5;46.06;Retail Trade;Drugstore Chains;300000.0;1963;www.cvshealth.com;"44.92
46.17";"43.56
83.25";57.90B;57900000000.0;11.69;Feb 11, 2025;3.14;2025-01-22;2025-02-02;29;0.66;0.34;0.0;7;3.5425429254509893;80.0;73.8752445120626;65.5;42.36035644425126;57.0;23.886111714844603;95.41B;6.12%;87.00M;96.15%;0.07;96.06%;0.09%;96.37%;- 1.42B;165.18%;1.10;2.42%;2025-01-10;12:02:39 UTC;3.55;0.01;;;;;;;;;;;;;;;
PCAR;108.5;- 1.06;-0.97;108.09;Producer Manufacturing;Trucks/Construction/Farm Machinery;32400.0;1905;www.paccar.com;"107.96
110.53";"90.04
125.50";56.89B;56890000000.0;12.13;Jan 27, 2025;1.09;2025-02-11;2025-03-04;22;0.27;0.59;0.14;8;0.5515668202764976;129.0;18.89400921658986;119.0;9.67741935483871;94.0;-13.36405529953917;8.25B;5.26%;972.10M;20.87%;1.85;21.05%;11.78%;16.48%;908.10M;9.85%;0.83;3.08%;2025-01-10;12:02:39 UTC;2.69;0.01;;;;;;;;;;;;;;;
SRE;82.82;- 1.41;-1.67;81.36;Utilities;Electric Utilities;16835.0;1996;www.sempra.com;"81.29
84.41";"66.40
95.77";52.46B;52460000000.0;18.23;Mar 3, 2025;3.18;2024-12-04;2025-01-14;21;0.76;0.19;0.05;9;1.7346848587297758;102.0;23.15865732914756;95.0;14.70659261048057;85.0;2.6322144409562993;2.68B;19.12%;649.00M;11.34%;1.00;12.30%;24.23%;9.62%;- 913.00M;128.25%;1.19;6.40%;2025-01-10;12:02:39 UTC;2.87;0.01;;;;;;;;;;;;;;;
AZO;3303.35;+ 43.44;1.33;3,308.99;Retail Trade;Specialty Stores;126000.0;1979;www.autozone.com;"3,248.98
3,305.23";"2,510.00
3,416.71";55.44B;55440000000.0;22.07;Mar 3, 2025;;;;31;0.71;0.19;0.1;8;1.3392527282909774;3907.0;18.273873492061092;3634.0;10.00953577428974;3002.0;-9.122557403847606;4.28B;1.04%;564.93M;13.32%;32.52;0.07%;13.20%;6.80%;564.77M;30.02%;n/a;n/a;2025-01-10;12:02:39 UTC;2.73;0.01;;;;;;;;;;;;;;;
TRV;242.77;+ 1.09;0.45;232.06;Finance;Property/Casualty Insurance;33300.0;1853;www.travelers.com;"238.94
244.00";"189.87
269.56";55.11B;55110000000.0;12.45;Jan 21, 2025;2.06;2024-12-09;2024-12-30;28;0.32;0.57;0.11;5;0.9651641471351484;310.0;27.69287803270585;271.5;11.834246406063349;217.0;-10.614985377105906;11.90B;11.93%;1.26B;214.21%;5.42;212.39%;10.58%;180.72%;3.88B;27.22%;0.29;27.85%;2025-01-10;12:02:39 UTC;2.13;0.01;;;;;;;;;;;;;;;
NXPI;209.72;- 2.86;-1.35;213.84;Electronic Technology;Semiconductors;34200.0;2006;www.nxp.com;"207.34
213.32";"201.58
296.08";53.30B;53300000000.0;19.79;Feb 2, 2025;1.77;2024-12-04;2025-01-07;34;0.74;0.24;0.03;6;2.232456608811749;315.0;50.200267022696934;260.0;23.97482357428953;200.0;-4.634751096700362;3.25B;5.36%;718.00M;8.77%;2.82;7.68%;22.09%;3.60%;616.33M;22.27%;1.08;17.76%;2025-01-10;12:02:39 UTC;2.29;0.01;;;;;;;;;;;;;;;
JCI;80.04;+ 0.87;1.1;80.04;Producer Manufacturing;Industrial Machinery;94000.0;2014;www.tyco.com;"78.82
80.11";"51.71
87.16";53.00B;53000000000.0;31.73;Jan 30, 2025;1.91;2024-12-22;2025-01-16;25;0.56;0.44;0.0;7;1.4568015992003993;97.0;21.189405297351314;89.0;11.194402798600692;79.0;-1.2993503248375888;6.25B;6.73%;536.00M;293.50%;0.95;17.94%;8.58%;7.91%;1.36B;503.57%;0.66;7.30%;2025-01-10;12:02:39 UTC;1.98;0.01;;;;;;;;;;;;;;;
GWW;1068.84;+ 6.09;0.57;1,070.20;Distribution Services;Wholesale Distributors;26000.0;1928;www.grainger.com;"1,056.79
1,079.12";"806.08
1,227.66";52.05B;52050000000.0;28.8;Jan 30, 2025;0.88;2024-11-07;2024-11-30;21;0.1;0.76;0.14;8;0.27891845365068724;1280.0;19.755997155795075;1125.0;5.254294375210517;925.0;-13.457580180382465;4.39B;4.28%;486.00M;2.10%;9.94;4.61%;11.08%;2.09%;523.00M;31.41%;0.92;3.70%;2025-01-10;12:02:39 UTC;2.18;0.01;;;;;;;;;;;;;;;
NSC;236.91;- 0.85;-0.36;236.31;Transportation;Railroads;20700.0;1980;www.norfolksouthern.com;"234.22
237.66";"206.71
277.60";53.60B;53600000000.0;22.22;Jan 28, 2025;2.28;2024-10-31;2024-11-19;29;0.55;0.41;0.03;9;1.0558482124013338;316.0;33.383985479718035;285.0;20.29884766366975;175.0;-26.132286522308046;3.05B;2.69%;1.10B;130.40%;4.85;130.91%;36.02%;124.36%;645.00M;475.89%;1.25;5.09%;2025-01-10;12:02:39 UTC;2.51;0.01;;;;;;;;;;;;;;;
PSA;295.46;- 2.74;-0.92;294.00;Finance;Real Estate Investment Trusts;6200.0;1972;www.publicstorage.com;"292.23
298.43";"256.31
369.99";51.76B;51760000000.0;30.62;Feb 24, 2025;3.93;2024-12-12;2024-12-29;21;0.43;0.52;0.05;8;1.5014147431124356;388.0;31.320652541799237;349.0;18.12089622960808;298.0;0.8596764367427132;1.19B;3.84%;430.33M;29.83%;2.16;32.30%;36.23%;32.43%;688.41M;8.31%;1.80;14.84%;2025-01-10;12:02:39 UTC;2.31;0.01;;;;;;;;;;;;;;;
SLB;38.81;- 0.56;-1.42;39.24;Industrial Services;Contract Drilling;111000.0;1926;www.slb.com;"38.41
39.13";"36.52
55.69";54.80B;54800000000.0;12.49;Jan 16, 2025;1.92;2024-12-03;2025-01-08;35;0.86;0.14;0.0;8;3.9083638237567633;65.0;67.48260757536715;56.0;44.292708064931716;49.0;26.256119556815243;9.17B;10.25%;1.19B;5.61%;0.83;6.34%;12.94%;4.21%;1.99B;63.97%;0.60;11.40%;2025-01-10;12:02:39 UTC;2.75;0.01;;;;;;;;;;;;;;;
AMP;534.93;+ 6.10;1.15;535.01;Finance;Investment Banks/Brokers;13800.0;1894;www.ameriprise.com;"527.73
535.00";"368.41
577.00";51.90B;51900000000.0;20.54;Jan 21, 2025;1.4;2024-11-03;2024-11-14;15;0.4;0.53;0.07;4;0.346635821509357;653.0;22.072046809862982;580.0;8.425401454395914;415.0;-22.419755855906374;4.58B;12.02%;511.00M;41.40%;5.00;38.59%;11.15%;47.69%;2.83B;129.28%;1.03;34.35%;2025-01-10;12:02:39 UTC;2.76;0.01;;;;;;;;;;;;;;;
ALL;191.8;+ 5.76;3.1;180.96;Finance;Property/Casualty Insurance;53400.0;1931;www.allstate.com;"185.02
191.84";"148.23
209.88";50.79B;50790000000.0;12.38;Feb 4, 2025;2.54;2024-11-28;2025-01-01;23;0.7;0.22;0.09;10;1.8218248175182477;285.0;48.59228362877997;226.0;17.83107403545359;186.0;-3.0239833159541245;16.63B;14.69%;1.19B;23,900.00%;4.33;2,866.35%;7.16%;20,851.10%;3.14B;166.38%;0.43;32.14%;2025-01-10;12:02:39 UTC;3.33;0.01;;;;;;;;;;;;;;;
FICO;1964.42;+ 29.26;1.51;1,957.75;Technology Services;Packaged Software;3586.0;1956;www.fico.com;"1,924.48
1,969.21";"1,105.65
2,402.51";47.83B;47830000000.0;96.07;Jan 22, 2025;;2017-02-28;2017-03-16;20;0.45;0.35;0.2;3;-0.4029927408598978;2661.0;35.459830382504755;2321.0;18.15192270492053;805.0;-59.02098329277853;453.81M;4.61%;135.69M;4.54%;5.44;35.52%;29.90%;14.90%;208.06M;210.57%;n/a;n/a;2025-01-10;12:02:39 UTC;2.14;0.01;;;;;;;;;;;;;;;
MNST;51.6;+ 0.05;0.1;51.64;Consumer Non-Durables;Beverages: Non-Alcoholic;6003.0;1990;www.monsterbevcorp.com;"50.84
51.79";"43.32
61.23";50.18B;50180000000.0;33.15;Feb 25, 2025;;;;27;0.48;0.44;0.07;7;0.7058139534883718;63.0;22.09302325581395;57.0;10.465116279069765;40.0;-22.48062015503876;1.88B;1.34%;370.92M;18.06%;0.38;11.66%;19.72%;19.15%;571.42M;16.03%;0.14;1,920.87%;2025-01-10;12:02:39 UTC;2.15;0.01;;;;;;;;;;;;;;;
PAYX;140.25;+ 0.99;0.71;139.00;Technology Services;Data Processing Services;16500.0;1971;www.paychex.com;"138.13
140.46";"114.72
150.71";50.50B;50500000000.0;29.51;Mar 25, 2025;3.04;2024-11-06;2024-11-26;20;0.05;0.7;0.25;7;-0.1814616755793227;150.0;6.951871657754011;139.0;-0.8912655971479502;120.0;-14.43850267379679;1.32B;4.69%;413.40M;5.27%;1.14;5.38%;31.39%;0.55%;248.00M;19.43%;0.22;10.50%;2025-01-10;12:02:39 UTC;2.27;0.01;;;;;;;;;;;;;;;
CHTR;349.32;+ 1.69;0.49;348.99;Consumer Services;Cable/Satellite TV;101100.0;1993;corporate.charter.com;"341.00
349.90";"236.08
415.27";99.34B;99340000000.0;10.94;Jan 30, 2025;;;;27;0.37;0.44;0.19;4;1.3557494560861103;660.0;88.9385091034009;391.0;11.931753120348107;292.0;-16.40902324516203;13.79B;1.55%;1.28B;1.99%;8.82;6.89%;9.28%;0.43%;1.34B;36.52%;6.76;23.51%;2025-01-10;12:02:39 UTC;2.05;0.01;;;;;;;;;;;;;;;
AEP;92.26;+ 1.79;1.98;92.91;Utilities;Electric Utilities;17250.0;1906;www.aep.com;"89.91
92.35";"75.22
105.18";49.13B;49130000000.0;18.52;Feb 12, 2025;4.15;2024-11-07;2024-12-09;21;0.29;0.62;0.1;3;0.8965814003902011;116.0;25.731628007804026;103.0;11.641014524170815;86.0;-6.785172339041844;5.49B;2.54%;959.60M;0.62%;1.80;1.67%;17.48%;1.87%;293.80M;227.54%;1.66;1.87%;2025-01-10;12:02:39 UTC;2.06;0.01;;;;;;;;;;;;;;;
ROST;154.63;+ 3.07;2.03;153.13;Retail Trade;Apparel/Footwear Retail;108000.0;1957;www.rossstores.com;"150.91
154.70";"127.53
163.60";51.02B;51020000000.0;24.34;Mar 3, 2025;0.93;2024-12-09;2024-12-30;24;0.63;0.33;0.04;9;1.5111821768091573;190.0;22.873957188126496;175.0;13.173381620642829;152.0;-1.700834249498801;5.07B;2.97%;488.81M;9.27%;1.48;11.37%;9.64%;6.12%;333.00M;22.22%;1.09;13.61%;2025-01-10;12:02:39 UTC;2.27;0.01;;;;;;;;;;;;;;;
PWR;312.2;- 7.61;-2.38;310.72;Industrial Services;Engineering & Construction;52500.0;1997;www.quantaservices.com;"307.56
319.56";"187.27
350.19";46.08B;46080000000.0;57.68;Feb 19, 2025;0.15;2025-01-01;2025-01-12;26;0.69;0.27;0.04;10;1.5216976297245357;422.0;35.16976297245356;338.0;8.263933376041004;295.0;-5.509288917360663;6.49B;15.52%;293.19M;7.46%;1.95;6.20%;4.52%;6.98%;527.42M;97.69%;0.71;0.18%;2025-01-10;12:02:39 UTC;2.13;0.01;;;;;;;;;;;;;;;
CMI;359.75;- 0.23;-0.06;359.75;Producer Manufacturing;Auto Parts: OEM;75500.0;1919;www.cummins.com;"354.83
360.40";"226.53
387.90";49.35B;49350000000.0;23.88;Feb 3, 2025;2.71;2024-11-21;2024-12-04;24;0.29;0.63;0.08;7;0.5551841556636551;436.0;21.195274496177902;372.0;3.4051424600416955;310.0;-13.829047949965254;8.46B;0.30%;809.00M;23.32%;5.86;27.52%;9.57%;22.96%;381.00M;69.50%;0.79;5.18%;2025-01-10;12:02:39 UTC;2.91;0.01;;;;;;;;;;;;;;;
AXON;577.34;+ 15.31;2.72;578.70;Electronic Technology;Aerospace & Defense;3330.0;1993;www.axon.com;"559.23
577.74";"244.01
698.67";44.02B;44020000000.0;149.51;Mar 3, 2025;;;;16;0.94;0.06;0.0;6;1.2703232064294867;800.0;38.56652925485848;585.0;1.3267745176152643;500.0;-13.39591921571345;544.27M;31.59%;67.03M;12.84%;0.86;9.77%;12.31%;14.25%;64.85M;32.57%;0.34;26.64%;2025-01-10;12:02:39 UTC;2.99;0.01;;;;;;;;;;;;;;;
VST;160.81;- 2.56;-1.57;161.00;Utilities;Electric Utilities;4870.0;1882;vistracorp.com;"152.61
163.00";"38.08
168.67";54.71B;54710000000.0;30.46;Feb 25, 2025;2.13;2024-12-19;2024-12-30;17;0.88;0.0;0.12;10;1.085448666127728;231.0;43.64778309806604;164.76;2.456314905789434;134.0;-16.671848765624027;5.53B;6.34%;1.89B;276.10%;5.25;320.50%;34.12%;253.67%;865.00M;23.92%;6.41;60.80%;2025-01-10;12:02:39 UTC;2.36;0.01;;;;;;;;;;;;;;;
URI;670.0;- 15.41;-2.25;670.05;Finance;Finance/Rental/Leasing;26300.0;1997;www.unitedrentals.com;"668.27
681.67";"533.70
896.98";43.97B;43970000000.0;17.5;Jan 21, 2025;1.03;2024-11-12;2024-11-26;23;0.48;0.26;0.26;3;1.775522388059701;1239.0;84.92537313432837;910.0;35.82089552238806;565.0;-15.671641791044777;3.99B;6.03%;708.00M;0.71%;10.70;3.87%;17.74%;5.02%;- 209.00M;273.21%;1.68;0.86%;2025-01-10;12:02:39 UTC;2.22;0.01;;;;;;;;;;;;;;;
MSCI;602.23;+ 10.90;1.84;601.51;Technology Services;Data Processing Services;5794.0;1998;www.msci.com;"586.11
602.30";"439.95
642.45";47.20B;47200000000.0;39.55;Jan 28, 2025;0.98;2024-11-14;2024-11-28;21;0.67;0.24;0.1;10;0.9345726715706622;700.0;16.23466117596267;675.0;12.083423276821145;510.0;-15.314746857512912;724.71M;15.87%;280.90M;8.18%;3.57;9.24%;38.76%;6.64%;414.98M;44.31%;n/a;n/a;2025-01-10;12:02:39 UTC;2.08;0.01;;;;;;;;;;;;;;;
LULU;392.92;- 0.54;-0.14;399.50;Retail Trade;Internet Retail;38000.0;1998;www.lululemon.com;"386.18
393.22";"226.01
493.49";49.86B;49860000000.0;28.38;Mar 31, 2025;;;;37;0.54;0.32;0.14;9;-0.23310393973327959;440.0;11.982082866741317;398.0;1.2928840476432821;194.0;-50.6260816451186;2.40B;8.73%;351.87M;41.48%;2.87;46.05%;14.68%;30.12%;122.18M;46.17%;0.38;14.67%;2025-01-10;12:02:39 UTC;1.5;0.01;;;;;;;;;;;;;;;
O;52.51;+ 0.00;0.0;52.50;Finance;Real Estate Investment Trusts;418.0;1969;www.realtyincome.com;"51.95
52.54";"50.65
64.88";45.96B;45960000000.0;49.97;Feb 24, 2025;5.33;2025-01-01;2025-01-14;23;0.3;0.7;0.0;6;1.8824528661207394;71.0;35.212340506570186;63.0;19.977147210055232;59.0;12.359550561797757;1.34B;28.88%;269.49M;15.42%;0.30;8.75%;20.12%;10.44%;807.91M;13.10%;0.74;4.36%;2025-01-10;12:02:39 UTC;2.1;0.04;;;;;;;;;;;;;;;
PSX;116.25;+ 1.06;0.92;117.01;Energy Minerals;Oil Refining/Marketing;14000.0;1875;www.phillips66.com;"113.80
116.42";"108.91
174.08";48.01B;48010000000.0;14.95;Jan 30, 2025;3.15;2024-11-17;2024-12-01;21;0.71;0.24;0.05;6;2.1423655913978497;161.0;38.494623655913976;144.0;23.870967741935484;124.0;6.666666666666667;35.29B;11.73%;343.00M;83.63%;0.82;82.53%;0.97%;81.45%;774.00M;57.70%;0.70;10.37%;2025-01-10;12:02:39 UTC;2.59;0.01;;;;;;;;;;;;;;;
AIG;71.43;- 1.16;-1.6;68.77;Finance;Multi-Line Insurance;25200.0;1919;www.aig.com;"69.50
71.86";"66.06
80.83";44.55B;44550000000.0;19.5;Feb 11, 2025;2.07;2024-12-15;2024-12-29;22;0.55;0.45;0.0;7;1.9058616827663444;96.0;34.39731205375891;85.0;18.997620047599035;76.0;6.397872042559138;6.75B;48.83%;481.00M;76.27%;0.75;73.45%;7.12%;53.63%;1.70B;51.60%;0.22;63.35%;2025-01-10;12:02:39 UTC;2.57;0.02;;;;;;;;;;;;;;;
FANG;170.99;- 1.43;-0.83;172.70;Energy Minerals;Oil & Gas Production;1023.0;2007;www.diamondbackenergy.com;"169.47
173.00";"147.93
214.50";49.93B;49930000000.0;9.79;Feb 23, 2025;5.15;2024-11-13;2024-11-20;31;0.9;0.1;0.0;8;2.84206561787239;255.0;49.13152815954149;212.0;23.98385870518743;191.0;11.702438739107544;2.65B;13.03%;653.00M;28.00%;3.19;37.10%;24.69%;36.31%;521.00M;22.70%;0.35;9.78%;2025-01-10;12:02:39 UTC;2.0;0.01;;;;;;;;;;;;;;;
D;54.6;+ 0.57;1.05;54.57;Utilities;Electric Utilities;17700.0;1983;www.dominionenergy.com;"53.47
54.65";"43.53
61.97";45.86B;45860000000.0;19.47;Feb 11, 2025;5.68;2024-11-28;2024-12-19;22;0.14;0.77;0.09;9;1.046776556776557;65.0;19.047619047619044;61.0;11.721611721611719;57.0;4.395604395604393;3.82B;0.39%;967.00M;34.87%;1.12;554.65%;25.33%;34.34%;- 1.46B;348.16%;1.64;2.96%;2025-01-10;12:02:39 UTC;1.95;0.01;;;;;;;;;;;;;;;
HWM;115.05;+ 3.39;3.04;115.00;Electronic Technology;Aerospace & Defense;23200.0;1888;www.howmet.com;"111.11
115.16";"52.73
120.71";46.74B;46740000000.0;44.05;Jan 28, 2025;0.31;2024-11-07;2024-11-24;26;0.77;0.19;0.04;8;0.5868100825727947;144.0;25.162972620599746;130.0;12.994350282485879;70.0;-39.156888309430684;1.83B;10.68%;332.00M;76.60%;0.81;79.16%;18.09%;59.56%;162.00M;22.73%;0.80;21.98%;2025-01-10;12:02:39 UTC;1.89;0.02;;;;;;;;;;;;;;;
DHI;139.9;+ 2.06;1.49;142.95;Consumer Durables;Homebuilding;14766.0;1978;www.drhorton.com;"136.39
140.47";"133.02
199.85";44.88B;44880000000.0;9.75;Jan 20, 2025;0.63;2024-11-11;2024-11-18;22;0.36;0.5;0.14;4;1.9866619013581126;214.0;52.9664045746962;188.0;34.381701215153676;145.0;3.645461043602569;10.00B;9.83%;1.28B;9.50%;3.92;11.87%;12.83%;10.73%;1.93B;666.86%;0.24;4.11%;2025-01-10;12:02:39 UTC;2.23;0.01;;;;;;;;;;;;;;;
KR;58.9;- 0.24;-0.41;59.19;Retail Trade;Food Retail;414000.0;1883;www.thekrogerco.com;"58.33
59.37";"44.48
63.59";42.62B;42620000000.0;15.59;Mar 5, 2025;2.45;2024-11-14;2024-11-30;23;0.48;0.52;0.0;7;1.0011205432937182;73.0;23.938879456706285;64.0;8.658743633276742;52.0;-11.714770797962647;33.63B;0.95%;613.00M;4.37%;0.84;4.76%;1.82%;3.45%;- 38.00M;90.33%;2.31;30.43%;2025-01-10;12:02:39 UTC;2.08;0.01;;;;;;;;;;;;;;;
